order_id,user_id,restaurant_id,order_date,total_amount,items_ordered,payment_method,order_status
ORD0300,USR206,RST074,26/05/2024,2932,"Aloo Tikki, Idli Sambhar, Hakka Noodles",Credit Card,Completed
ORD0301,USR249,RST057,26/05/2024,2824,"Butter Naan, Mutton Rogan Josh",Wallet,Completed
ORD0302,USR001,RST035,27/05/2024,2222,"Chicken Biryani, Idli Sambhar",Credit Card,Completed
ORD0303,USR025,RST012,27/05/2024,829,"Butter Naan, Masala Dosa, Chicken Biryani, Fried Rice",UPI,Completed
ORD0304,USR049,RST004,27/05/2024,1050,"Butter Naan, Fried Rice, Paneer Butter Masala",UPI,Cancelled
ORD0305,USR085,RST006,27/05/2024,1653,"Masala Dosa, Aloo Tikki",Wallet,Completed
ORD0306,USR102,RST058,27/05/2024,1515,"Chole Bhature, Paneer Butter Masala, Idli Sambhar, Dal Makhani, Samosa",Cash,Completed
ORD0307,USR158,RST029,27/05/2024,1681,"Chicken Curry, Masala Dosa, Idli Sambhar, Chole Bhature, Mutton Rogan Josh",Wallet,Completed
ORD0308,USR224,RST034,27/05/2024,1568,"Dal Makhani, Masala Dosa",Credit Card,Completed
ORD0309,USR101,RST044,28/05/2024,450,"Samosa, Masala Dosa, Fried Rice, Paneer Butter Masala, Veg Pulao",Cash,Completed
ORD0310,USR136,RST049,28/05/2024,644,"Dal Makhani, Samosa, Mutton Rogan Josh",Cash,Completed
ORD0311,USR213,RST070,28/05/2024,2866,"Fried Rice, Mutton Rogan Josh, Masala Dosa, Samosa, Butter Naan",Wallet,Completed
ORD0312,USR232,RST063,29/05/2024,2804,"Chicken Curry, Chole Bhature, Dal Makhani",Wallet,Completed
ORD0313,USR026,RST067,30/05/2024,3180,"Chole Bhature, Pav Bhaji, Hakka Noodles, Masala Dosa, Chicken Biryani",Cash,Cancelled
ORD0314,USR064,RST001,30/05/2024,1450,"Dal Makhani, Idli Sambhar, Paneer Butter Masala",UPI,Completed
ORD0315,USR031,RST074,31/05/2024,1714,"Fried Rice, Paneer Butter Masala, Butter Naan, Samosa",Cash,Completed
ORD0316,USR039,RST074,31/05/2024,1457,"Fried Rice, Chole Bhature, Butter Naan, Aloo Tikki",Cash,Cancelled
ORD0317,USR048,RST069,31/05/2024,1074,"Hakka Noodles, Masala Dosa, Idli Sambhar",UPI,Completed
